h1,p
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"I. Los ascendientes, por los hechos delictivos o punibles de sus descendientes que se hallaren bajo su patria potestad o custodia;"
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"II. Los tutores y los custodios, por los hechos delictivos o punibles de los inimputables que se hallen bajo su responsabilidad;"
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"III. Los directores de internados o talleres, que reciban en su establecimiento discípulos o aprendices menores de dieciséis años, por los hechos punibles que ejecuten éstos durante el tiempo que se hallen bajo el cuidado de aquellos;"
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"IV. Los dueños, empresas o encargados de negociaciones o establecimientos mercantiles de cualquier especie, por los hechos delictivos o punibles que cometan sus obreros, jornaleros, empleados, domésticos y artesanos, con motivo y en el desempeño de sus servicios;"
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"V. Las sociedades o agrupaciones, por los hechos delictivos de sus socios o gerentes directores, en los mismos términos en que, conforme a las leyes aplicables, sean responsables por las demás obligaciones que los segundos contraigan."
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"Se exceptúa de esta regla la sociedad conyugal, pues en todo caso, cada cónyuge responde con sus bienes propios por la reparación de los daños y perjuicios que cause; y el Estado y los Municipios, por los hechos delictivos que cometan los servidores públicos con motivo o en el desempeño de sus funciones."
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"Los propietarios de vehículos serán solidariamente responsables con el responsable del hecho delictivo o punible, por los daños y perjuicios que causen con su utilización, si éstos se realizan bajo su dirección o dependencia."
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"En el caso de los supuestos establecidos en las Fracciones I a III del presente Artículo, se requerirá del pago de la reparación de los daños y perjuicios a los terceros obligados, al existir importe y nombre de los beneficiarios en el procedimiento penal correspondiente, en los términos establecidos para el efecto en el Código de Procedimientos Civiles y demás leyes aplicables."
Código Penal AguascalientesArtículo 60. Reparación del daño exigible a terceros,"En el caso de los supuestos establecidos en las fracciones IV a V del presente Artículo, se requerirá del pago de la reparación de los daños y perjuicios a los terceros obligados, al existir importe y nombre de los beneficiarios en el procedimiento penal correspondiente, por la autoridad judicial, y será en los términos establecidos en el Código de Procedimientos Civiles y demás leyes aplicables, pero sólo en los casos en que se acredite que el directamente obligado no cuenta con los recursos suficientes para cubrir su pago."
Código Penal AguascalientesArtículo 61. Preferencia de pago de la reparación del daño,"La obligación de pagar la reparación de los daños y perjuicios es preferente con respecto a cualesquiera otras contratadas con posterioridad al hecho delictivo, a excepción de las referentes a alimentos y relaciones laborales."
Código Penal AguascalientesArtículo 62. Exigibilidad de la reparación del daño,"El pago de la reparación de los daños y perjuicios tiene el carácter de pena pública y siempre se exigirá su pago por el Ministerio Público en todo procedimiento penal, y los tribunales y autoridades competentes, no podrán absolver al responsable del pago de dicha reparación, si se ha emitido una sentencia condenatoria o si se determina la aplicación de medida de seguridad."
Código Penal AguascalientesArtículo 63. Pago solidario y mancomunado de la reparación del daño,"Cuando sean varios los responsables en la comisión del hecho delictivo, el pago de la reparación de los daños y perjuicios, se hará en forma mancomunada y solidaria"
Código Penal AguascalientesArtículo 64. Cumplimiento diferido de la reparación del daño,"La autoridad judicial, teniendo en cuenta el monto que haya sido establecido por concepto de pago de daños y perjuicios y la situación económica del responsable, podrá fijar los plazos para cubrir su importe, los que en conjunto no excederán de un año, debiendo para ello exigir garantías suficientes. Si se establecen tales pagos diferidos, se fijaran los intereses legales correspondientes, tanto de carácter ordinario como moratorios."
Código Penal AguascalientesArtículo 65. Ejecución de la reparación del daño,"Si el responsable se niega a pagar voluntariamente el monto de la reparación de los daños y perjuicios, se estará a lo dispuesto en la Ley de Ejecución de Sanciones Penales del Estado de Aguascalientes."
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos","La Suspensión consiste en la pérdida temporal, del responsable, de sus derechos, funciones, cargos, empleos, comisiones o profesiones que haya estado ejerciendo."
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos",La Suspensión es de dos clases:
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos",I. La que resulta como consecuencia de la ejecución de la pena de prisión; y
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos",II. La que por sentencia se establece como pena.
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos","Respecto de lo ordenado en la Fracción I, la suspensión dejará de surtir sus efectos al momento en que la autoridad ejecutora dé por cumplida la pena de prisión, sea por compurgación total o por obtención de beneficios, y se informará de ello, mediante oficio, a las autoridades que hayan tenido conocimiento de tal situación."
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos","La Privación consiste en la pérdida definitiva de sus derechos, funciones, cargos, empleos, comisiones o profesiones que haya estado ejerciendo el responsable."
"Código Penal AguascalientesArtículo 66. Suspensión, privación e inhabilitación de derechos","La Inhabilitación implica la incapacidad legal, temporal o definitiva, del responsable, a obtener o ejercer derechos, funciones, cargos, empleos, comisiones o profesiones."
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,"La autoridad jurisdiccional, a petición del Ministerio Público, y con relación a los hechos punibles motivo del procedimiento, podrá aplicar, además de las penas que legalmente correspondan para cada figura típica, las siguientes Medidas de Seguridad:"
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,I. Confinamiento;
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,II. Prohibición de ir a una circunscripción territorial determinada o de residir en ella;
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,"III. Aseguramiento, destrucción y pérdida de objetos, instrumentos y productos del delito;"
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,IV. Caución; y
Código Penal AguascalientesArtículo 67. Las medidas de seguridad,V. Vigilancia de Autoridad.
Código Penal AguascalientesArtículo 68. Confinamiento,"El Confinamiento consiste en la obligación de residir en determinado lugar y no salir de él. La autoridad jurisdiccional hará la designación del lugar, conciliando las exigencias de la tranquilidad pública y las necesidades del responsable y de las víctimas u ofendidos."
Código Penal AguascalientesArtículo 69. Prohibición de ir a algún lugar o residir en el,"La autoridad jurisdiccional, tomando en cuenta las circunstancias del hecho delictivo y las propias del responsable, podrá disponer que éste no vaya a una circunscripción territorial determinada o que no resida en ella."
Código Penal AguascalientesArtículo 69. Prohibición de ir a algún lugar o residir en el,"Estas prohibiciones, como el confinamiento, se podrán fijar por un término de seis meses a tres años y se impondrán adicionalmente por la comisión de cualquier delito, e incluso en cualquier etapa del procedimiento, específicamente cuando el inculpado obtenga su libertad provisional bajo caución."
"Código Penal AguascalientesArtículo 70. Aseguramiento de los instrumentos, objetos o productos del hecho delictivo","Las autoridades competentes que conozcan del procedimiento, procederán al inmediato aseguramiento de los bienes relacionados con el hecho punible en cualquier etapa del procedimiento penal, cualquiera que sea la naturaleza de los instrumentos, objetos o productos utilizados, para el posterior efecto del decomiso si son de uso prohibido. Si son de uso lícito, se decomisarán solamente cuando el hecho delictivo sea doloso. Si pertenecen a un tercero, sólo se decomisarán cuando el tercero que los tenga en su poder o los haya adquirido bajo cualquier título, esté en alguno de los supuestos de la figura jurídica del encubrimiento, independientemente de la naturaleza jurídica de dicho tercero y de la relación de éste con el responsable del hecho delictivo básico, en su caso."
"Código Penal AguascalientesArtículo 70. Aseguramiento de los instrumentos, objetos o productos del hecho delictivo",Cuando se trate de bienes inmuebles se deberá ordenar la inscripción respectiva en el Registro Público de la Propiedad
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","El destino de los instrumentos, objetos o productos del hecho delictivo se determinará por la autoridad jurisdiccional en primer lugar al pago de la reparación de daños y perjuicios a favor de las víctimas u ofendidos, y en caso de existir remanente, al Fondo de Atención a Víctimas u Ofendidos del Delito."
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","Si se tratara de substancias nocivas o peligrosas, se destruirán a juicio de la autoridad que esté conociendo, la que, cuando lo estime conveniente, podrá determinar su conservación para fines de docencia o investigación. Dicha autoridad podrá disponer aún antes de declararse su decomiso, estas medidas de precaución, incluyendo su destrucción, si fuere indispensable."
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","Respecto de los objetos o valores que se encuentren a disposición de las autoridades investigadoras o judiciales que no hayan sido asegurados o decomisados y que no sean recogidos por quien tenga derecho a ello en un lapso de noventa días naturales, contados a partir de la notificación que se haga al interesado se procederá de la siguiente forma:"
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","I. Si los objetos o valores referidos no se pueden conservar o sean de costoso mantenimiento, se procederá a su venta inmediata, aplicándose a lo conducente las reglas que se establecen en la Fracción III;"
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","II. Cuando su naturaleza lo permita serán aprovechados en beneficio de la procuración o impartición de justicia y podrán ser entregados en depósito a los servidores públicos, mediante resolución fundada y motivada dictada por el Fiscal General del Estado o el tribunal competente según sea el caso. Dicho aprovechamiento no causará al Estado costo alguno; y"
"Código Penal AguascalientesArtículo 71. Destino de los instrumentos, objetos o productos del hecho delictivo","III. Si los objetos no reúnen las características descritas en la fracción anterior, se enajenarán en subasta pública, conforme al procedimiento establecido para remates en el Código Fiscal del Estado, y el producto de la venta se aplicará a quien tenga derecho a recibirlo. Si notificado no se presenta dentro de los ciento veinte días siguientes a la fecha de la notificación, el producto de la venta se destinará al mejoramiento de la procuración o administración de justicia según sea el caso, previas las deducciones de los gastos ocasionados al respecto."
Código Penal AguascalientesArtículo 72. Caución para no ofender,"La Caución consiste en la garantía sobre la posesión de las cosas y para no ofender. Será establecida en la sentencia por la autoridad jurisdiccional, a petición del Ministerio Público, en aquellos casos en que sea necesaria, y se hará efectiva cuando el sentenciado altere los objetos de que tenga posesión, o realice actos de molestia a las personas que se ordene no incomodar. El monto se fijará en base al valor de las cosas que se entreguen en posesión o de las características de la persona objeto de protección."
Código Penal AguascalientesArtículo 73. Vigilancia de autoridad,"Cuando en la sentencia se determine la suspensión condicional de la pena de prisión, la vigilancia de su cumplimiento le corresponderá a la autoridad judicial. Tal vigilancia no podrá exceder a la pena de prisión impuesta."
Código Penal AguascalientesArtículo 73. Vigilancia de autoridad,"La vigilancia consistirá en ejercer sobre el sentenciado, observación y orientación de su conducta, por personal especializado auxiliar del Juez de Ejecución, para coadyuvar a la reinserción social del sentenciado y a la protección de la comunidad. El no cumplimiento de las indicaciones de la autoridad judicial a cargo del sentenciado, se considera causa suficiente para revocar el beneficio de la suspensión."
Código Penal AguascalientesArtículo 74. Medidas aplicables,"Cuando en la comisión del hecho delictivo se hubiere utilizado como medio o instrumento a una persona jurídica colectiva, se aplicarán a esta última las siguientes medidas de seguridad:"
Código Penal AguascalientesArtículo 74. Medidas aplicables,I. Intervención;
Código Penal AguascalientesArtículo 74. Medidas aplicables,II. Suspensión;
Código Penal AguascalientesArtículo 74. Medidas aplicables,III. Disolución o Liquidación;
Código Penal AguascalientesArtículo 74. Medidas aplicables,IV. Prohibición para realizar determinados actos y operaciones;
Código Penal AguascalientesArtículo 74. Medidas aplicables,V. Remoción de funcionarios; y
Código Penal AguascalientesArtículo 74. Medidas aplicables,VI. Multa y Reparación de Daños y Perjuicios
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"Las Medidas de Seguridad señaladas en el Artículo anterior, se aplicarán de la siguiente forma:"
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"I. Intervención de sus órganos de representación, con las atribuciones que al Interventor confiere la ley aplicable a la materia, sin que su duración pueda exceder de dos años;"
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"II. Suspensión temporal de actividades, en términos de la ley de la materia, hasta por dos años;"
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"III. Disolución y liquidación de las personas jurídicas, en términos de la ley de la materia;"
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"IV. Prohibición de hasta dos años para realizar determinados actos u operaciones, limitándose exclusivamente a los que señale la autoridad y que deberán tener relación directa con el hecho delictivo cometido; y"
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"V. Remoción de sus funcionarios, solo por el tiempo indispensable para sustituirlos conforme a la ley de la materia."
Código Penal AguascalientesArtículo 75. Forma de aplicación de las medidas,"Con relación a la multa y al pago de reparación de daños y perjuicios, se estará a lo dispuesto por este Código, respecto a lo señalado para las personas físicas, con las adecuaciones correspondientes tratándose de personas colectivas, en tratándose de la multa."
Código Penal AguascalientesArtículo 76. Causas de extinción,Son causas de extinción de la pretensión punitiva y de la potestad de ejecutar penas y medidas de seguridad:
Código Penal AguascalientesArtículo 76. Causas de extinción,I. Cumplimiento de la pena o medida de seguridad;
Código Penal AguascalientesArtículo 76. Causas de extinción,II. Muerte del sentenciado;
Código Penal AguascalientesArtículo 76. Causas de extinción,III. Amnistía;
Código Penal AguascalientesArtículo 76. Causas de extinción,"IV. Perdón de la víctima u ofendido, o de la persona legitimada para realizarlo, en los casos autorizados por este Código;"
Código Penal AguascalientesArtículo 76. Causas de extinción,V. Reconocimiento de inocencia; y
Código Penal AguascalientesArtículo 76. Causas de extinción,VI. Prescripción.
Código Penal AguascalientesArtículo 77. Cumplimiento de la sanción,"El cumplimiento de la pena, así como aquella que la sustituya, o de la medida de seguridad, la extingue con todos sus efectos."
Código Penal AguascalientesArtículo 77. Cumplimiento de la sanción,"La pena de prisión sustituida o cuya ejecución se hubiera suspendido, se extinguirá por el cumplimiento de los requisitos establecidos para su otorgamiento, y en su caso, una vez transcurrido el término de la pena impuesta o del tiempo para compurgarla."
Código Penal AguascalientesArtículo 78. Muerte del sentenciado,"La muerte del sentenciado extingue la acción penal y la potestad de ejecutar penas y medidas de seguridad, excepto lo relacionado con el decomiso, destrucción y pérdida de objetos, instrumentos y productos del hecho delictivo, y la reparación de daños y perjuicios"
Código Penal AguascalientesArtículo 79. Amnistía,"La amnistía extingue la acción penal y la potestad de ejecutar las penas impuestas, a excepción del decomiso, destrucción de los objetos, instrumentos y productos del hecho delictivo, y la reparación de daños y perjuicios. Si aquélla no expresare su alcance, se entenderá que la acción penal y la potestad ejecutiva se extinguen con todos sus efectos, en relación con todos los responsables del hecho delictivo"
Código Penal AguascalientesArtículo 80. Perdón de la víctima u ofendido,"El perdón de la víctima u ofendidos en su caso, en los supuestos descritos en este Código, extingue el ejercicio de la acción penal y la potestad de imponer penas y medidas de seguridad."
Código Penal AguascalientesArtículo 80. Perdón de la víctima u ofendido,"El perdón, en la fase de ejecución, siempre deberá ser otorgado ante el Juez de Ejecución para que tenga efectos legales"
Código Penal AguascalientesArtículo 81. Perdón tácito,"La víctima o el ofendido podrán otorgar el perdón al inculpado en cualquier etapa del procedimiento. La víctima o el ofendido, serán enterados, por la autoridad que corresponda, de las consecuencias legales que implica el otorgamiento del perdón."
Código Penal AguascalientesArtículo 81. Perdón tácito,Se considerará que la víctima u ofendido otorga el perdón:
Código Penal AguascalientesArtículo 81. Perdón tácito,"I. Cuando, citado a participar en la realización de diligencias necesarias para el trámite del procedimiento, no concurriere sin justa causa, o se negare a colaborar en tales diligencias;"
Código Penal AguascalientesArtículo 81. Perdón tácito,"II. Cuando no presente los medios probatorios que sean necesarios y que tenga en su poder, en las etapas de averiguación previa y averiguación procesal."
Código Penal AguascalientesArtículo 81. Perdón tácito,"El desistimiento podrá ser declarado de oficio o a petición de cualquiera de los sujetos procesales interesados, y su declaratoria provocará el no ejercicio de la acción penal o el sobreseimiento, según el estado del procedimiento, lo que impedirá toda posterior persecución, en virtud del mismo hecho que constituyó el objeto de su instancia"
Código Penal AguascalientesArtículo 82. Ejercicio separado del perdón,"Cuando sean varios las víctimas u ofendidos y cada uno de ellos pueda ejercer separadamente la facultad de otorgar el perdón, esto solo surtirá efectos por lo que hace a quien lo concede."
Código Penal AguascalientesArtículo 82. Ejercicio separado del perdón,"Si los inculpados fueren varios el perdón otorgado a uno de ellos, solo beneficia a aquel a quien se le otorgue"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"El otorgamiento del perdón solo operará, para los efectos señalados, respecto de hechos que puedan ser o hayan sido tipificados en relación con las siguientes figuras típicas, consideradas como hechos punibles de querella:"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"I. Lesiones Dolosas, previstas en el Artículo 104, Fracciones I, II, III y IV;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"II. Lesiones Dolosas en Riña, previstas en el Artículo 105;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"III. Hostigamiento Sexual, prevista en el Artículo 114;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,IV. Atentados al Pudor y Atentados al Pudor Equiparado previstos en el Artículo 115 con excepción del caso previsto en su párrafo quinto;
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"V. Estupro, prevista en el Artículo 118;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"VI. Fecundación Artificial Indebida prevista en el Artículo 125, únicamente cuando el cónyuge o concubinario de la víctima tenga algún grado de intervención en la comisión del hecho punible;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"VII. Sustracción de Menores e Incapaces, cuando el inculpado sea familiar de la víctima, prevista en el Artículo 127;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"VIII. Bigamia, prevista en el Artículo 129;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"IX. Incumplimiento de las Obligaciones de Asistencia Familiar, prevista en el Artículo 131;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"X. Allanamiento de Morada, prevista en el Artículo 137;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XI. Abuso de Confianza, prevista en el Artículo 146;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XII. Fraude, prevista en el Artículo 147;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XIII. Usura, previsto en el Artículo 148;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,XIV. Despojo previsto en el Artículo 150;
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XV. Daño en las Cosas Doloso, prevista en el Artículo 151;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XVI. Ejercicio Indebido del Propio Derecho, prevista en el Artículo 164;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XVII. Revelación de Secretos, prevista en el Artículo 179;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XVIII. Violación de Correspondencia, prevista en el Artículo 180;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XIX. Acceso Informático indebido, previsto en el Artículo 181;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XX. Defraudación Fiscal, prevista en el Artículo 190;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XXI. Uso Indebido de Llamadas Telefónicas para movilizar los sistemas de respuesta de emergencia, previsto en las Fracciones I y II del Artículo 194, con excepción de lo dispuesto en el último párrafo;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XXII. Homicidio Culposo, prevista en los párrafos primero y segundo del Artículo 195;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XXIII. Aborto Culposo, previsto en los párrafos primero y segundo el Artículo 196;"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XXIV. Lesiones culposas previstas en el Artículo 197, con excepción de lo dispuesto en el último párrafo; y"
Código Penal AguascalientesArtículo 83. Hechos punibles de querella,"XXV. Daño en las Cosas Culposo, previsto en el Artículo 198 con excepción de lo dispuesto en el último párrafo"
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,"El reconocimiento de la inocencia del sentenciado extingue la potestad de ejecutar las penas y medidas de seguridad impuestas por la sentencia, y procede en los siguientes supuestos:"
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,I. Cuando la sentencia se haya basado exclusivamente en medios probatorios cuya falsedad sea declarada con posterioridad;
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,II. Cuando después de la sentencia se presenten documentos públicos que invaliden los medios probatorios en que se haya basado la sentencia;
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,"III. Cuando dictada sentencia por homicidio de persona que haya desaparecido, se presentare ésta o medio probatorio pleno de que la supuesta víctima vive;"
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,"IV. Cuando dos personas hayan sido sentenciadas por el mismo hecho punible con la calidad de autores, y se demuestre la imposibilidad de que uno de ellos lo hubiere realizado; o"
Código Penal AguascalientesArtículo 84. Reconocimiento de inocencia,"V. Cuando el sentenciado lo hubiere sido por los mismos hechos en dos procedimientos diversos. En este caso, será nula la segunda sentencia."
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,"El sentenciado que se crea con derecho a obtener el reconocimiento de inocencia, presentará solicitud al Juez de Ejecución, en el que expondrá la causa en que funda su petición, anexando los medios probatorios correspondientes o protestando exhibirlos oportunamente."
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,"En la misma solicitud, designará al Licenciado en Derecho que lo represente durante el trámite del procedimiento, hasta su total conclusión."
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,"Recibida la solicitud, el Juez de Ejecución solicitará los expedientes relacionados y señalará día y hora para audiencia oral en el que se desahogarán los medios probatorios propuestos, citando al Ministerio Público del tribunal donde se haya tramitado el expediente que dio motivo al trámite."
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,"Desahogadas las pruebas admitidas, las partes formularán sus alegatos oralmente. Una vez realizado lo anterior se declarará cerrado el debate y el Juez de Ejecución resolverá en el momento o a más tardar en un término que no excederá de diez días."
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,Contra la resolución que emita el Juez de Ejecución procede el recurso de apelación en términos de lo establecido en la Ley de Ejecución de Sanciones Penales para el Estado de Aguascalientes.
Código Penal AguascalientesArtículo 85. Procedimiento para el reconocimiento de inocencia,"Si se declara procedente la solicitud, se notificará inmediatamente a la autoridad ejecutora para que surta desde luego sus efectos legales. En caso contrario, se mandará archivar el expediente, previa notificación personal a los sujetos procesales interesados."
Código Penal AguascalientesArtículo 86. Prescripción,"Por la prescripción se extingue la acción penal y la potestad de ejecutar las penas y medidas de seguridad, salvo en los casos que la propia ley no permita la prescripción. Es personal y para ello bastará el simple transcurso del tiempo señalado por la Ley. Los plazos para la prescripción se duplicarán respecto de quienes se encuentren fuera del territorio del Estado, si por esta circunstancia no es posible ejecutar una pena o medida de seguridad"
Código Penal AguascalientesArtículo 87. Prescripción de la acción penal,"El ejercicio de la acción penal prescribirá en un plazo igual al término medio aritmético de la pena privativa de libertad que establezca la descripción típica que corresponda, pero en ningún caso será menor de tres años, y se contará a partir del momento en que se haya concretizado el resultado de lesión o de puesta en peligro del bien jurídico, si el delito es calificado de instantáneo; del momento en que se realizó el último acto de ejecución o se omitió la acción ordenada, si el delito se califica en grado de tentativa; desde el día en que se realizó la última conducta provocadora del resultado de lesión o de puesta en peligro del bien jurídico, si se trata de un delito continuado; y desde el momento en que deje de tener sus efectos, si se trata de delito permanente."
Código Penal AguascalientesArtículo 87. Prescripción de la acción penal,El ejercicio de la acción penal será imprescriptible si el hecho encuadra en cualquiera de las variables o modalidades de la figura típica de secuestro.
Código Penal AguascalientesArtículo 88. Prescripción en caso de concurso,"En los casos de concurso real o ideal, los plazos de la prescripción se computarán separadamente para cada hecho punible, pero correrán en forma simultánea, salvo que uno de los hechos sea tipificado como de secuestro, en cualquiera de sus variables o modalidades, puesto que en este caso no opera la prescripción."
Código Penal AguascalientesArtículo 89. Requisito previo,"Cuando para ejercitar o continuar el ejercicio de la acción penal sea necesaria una declaración o una resolución previa de autoridad, la prescripción comenzará a correr desde que sea satisfecho tal requisito"
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,La prescripción de la acción penal se interrumpirá:
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,"I. Por las actuaciones que se practiquen directamente para la investigación de hechos punibles en la averiguación previa correspondiente. Si se dejare de actuar, la prescripción comenzará de nuevo desde el día siguiente al de la última diligencia;"
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,"II. Con la aprehensión del inculpado, y en todo caso en que éste se encuentre sujeto a procedimiento; y"
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,III. Cuando el inculpado se encuentre sujeto a procedimiento penal o compurgando una pena de prisión en otra Entidad Federativa o en el Distrito Federal.
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,"Si el inculpado se sustrae a la acción de la autoridad, el término de la prescripción correrá a partir del día siguiente."
Código Penal AguascalientesArtículo 90. Interrupción de la prescripción,"En el caso de que el procesado se haya sustraído valiéndose del beneficio de la libertad provisional bajo caución, la prescripción comenzará a correr desde el día siguiente a aquel en que debió ordenarse la reaprehensión"
Código Penal AguascalientesArtículo 91. Prescripción de la potestad de ejecutar penas y medidas de seguridad,"Los términos para la prescripción de la potestad de ejecutar las penas y medidas de seguridad serán continuos y correrán desde el día siguiente a aquél en que el sentenciado se substraiga a la acción de la autoridad, si las penas son privativas o restrictivas de la libertad, y si no lo son, desde la fecha en que la sentencia sea ejecutoria."
Código Penal AguascalientesArtículo 92. Prescripción de la multa y la reparación del daño,"La potestad de ejecución de la pena de multa prescribirá en dos años y la de reparación de daños y perjuicios en cuatro años, contados a partir de la fecha en que haya causado ejecutoria la sentencia."
Código Penal AguascalientesArtículo 93. Prescripción de la pena de prisión,"La potestad de ejecutar la pena de prisión prescribirá en un lapso igual al fijado en la sentencia, pero no podrá ser inferior a tres años, ni superior a veinte años. Cuando se haya cumplido parte de la pena de prisión, se necesitará para la prescripción un tiempo igual al que falte para su cumplimiento, tomando en cuenta los límites fijados en este Artículo."
Código Penal AguascalientesArtículo 94. Prescripción de las demás sanciones,"La potestad de ejecutar las demás penas y las medidas de seguridad, prescribirá por el transcurso de un término igual al de su duración, pero ésta no podrá ser inferior a dos años ni exceder de diez años. Las que no tengan temporalidad, prescribirán en tres años contados a partir de la fecha en que la resolución haya causado ejecutoria."
Código Penal AguascalientesArtículo 100. Instigación o ayuda al suicidio,La Instigación o Ayuda al Suicidio consiste en prestar auxilio o inducir a otro para que se suicide.
Código Penal AguascalientesArtículo 100. Instigación o ayuda al suicidio,"Al responsable de Instigación o Ayuda al Suicidio se le aplicarán de 2 a 5 años de prisión y de 15 a 50 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 100. Instigación o ayuda al suicidio,"Si la víctima fuere menor 16 años de edad o padeciere de desarrollo intelectual retardado, se aplicarán al responsable de 3 a 8 años de prisión y de 20 a 40 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 100. Instigación o ayuda al suicidio,"Las penas de prisión u multa referidas en los dos párrafos anteriores, se duplicaran las penas en sus mínimos y máximos, cuando la víctima sea una mujer y se acredite alguna de las razones de género previstas en el Artículo 97-A de este Código"
Código Penal AguascalientesArtículo 101. Aborto doloso,El Aborto Doloso es la muerte del producto de la concepción en cualquier momento de la preñez.
Código Penal AguascalientesArtículo 101. Aborto doloso,"Al responsable de Aborto Doloso se le aplicarán de 1 a 3 años de prisión y de 40 a 80 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados, cuando se realice por la mujer embarazada o por otra persona con el consentimiento de la mujer embarazada, tomando en cuenta para ello las reglas de la autoría, participación y complicidad."
